10
RA-AEA0010,National,AEA0010,GA,BYD,Mercielago,1,CN-AEA0010,GroupFR000010,JFK,East Louveniaburgh,81025 Efren Dam,Block 0000009,East Lavonne,GA,17760,2025-09-25 00:00:00,GroupFR000010,JFK,East Louveniaburgh,81025 Efren Dam,Block 0000009,East Lavonne,GA,17760,2025-10-16 00:00:00,,,,,,,,,,false,
RA-AEA0011,Enterprise,AEA0011,HI,Honda,Spyder,1,CN-AEA0011,GroupFR000011,DEN,Atascocita,1273 Okuneva Stream,Block 0000010,Antelope,HI,64858,2025-09-25 00:00:00,GroupFR000011,DEN,Atascocita,1273 Okuneva Stream,Block 0000010,Antelope,HI,64858,2025-10-16 00:00:00,,,,,,,,,,false,
RA-AEA0012,Alamo,AEA0012,ID,Tesla,Roadster,1,CN-AEA0012,GroupFR000012,LAX,North Reidburgh,64417 St Andrew's Road,Block 0000011,North Hardy,ID,78489,2025-09-25 00:00:00,GroupFR000012,LAX,North Reidburgh,64417 St Andrew's Road,Block 0000011,North Hardy,ID,78489,2025-10-16 00:00:00,,,,,,,,,,false,
RA-AEA0013,National,AEA0013,IL,NIO,Taurus,1,CN-AEA0013,GroupFR000013,ATL,Feilburgh,8705 Viva Crest,Block 0000012,Charlestown,IL,40415,2025-09-25 00:00:00,GroupFR000013,ATL,Feilburgh,8705 Viva Crest,Block 0000012,Charlestown,IL,40415,2025-10-16 00:00:00,,,,,,,,,,false,
RA-AEA0014,Enterprise,AEA0014,IN,Honda,El Camino,1,CN-AEA0014,GroupFR000014,ATL,Eau Claire,84503 Wilkinson Rue,Block 0000013,East Destany,IN,61200,2025-09-25 00:00:00,GroupFR000014,ATL,Eau Claire,84503 Wilkinson Rue,Block 0000013,East Destany,IN,61200,2025-10-16 00:00:00,,,,,,,,,,false,
RA-AEA0015,Enterprise,AEA0015,IA,Jeep,Prius,1,CN-AEA0015,GroupFR000015,JFK,Doracester,903 Mae Mission,Block 0000014,East Brookborough,IA,32622,2025-09-25 00:00:00,GroupFR000015,JFK,Doracester,903 Mae Mission,Block 0000014,East Brookborough,IA,32622,2025-10-16 00:00:00,,,,,,,,,,false,
RA-AEA0016,Enterprise,AEA0016,KS,Maruti,Model S,1,CN-AEA0016,GroupFR000016,JFK,Steviecester,615 Isai Court,Block 0000015,South Thadhaven,KS,66659,2025-09-25 00:00:00,GroupFR000016,JFK,Steviecester,615 Isai Court,Block 0000015,South Thadhaven,KS,66659,2025-10-16 00:00:00,,,,,,,,,,false,
RA-AEA0017,National,AEA0017,KY,Peugeot,Sentra,1,CN-AEA0017,GroupFR000017,LAX,Ethancester,321 Waters Shoals,Block 0000016,Emiliofield,KY,79528,2025-09-25 00:00:00,GroupFR000017,LAX,Ethancester,321 Waters Shoals,Block 0000016,Emiliofield,KY,79528,2025-10-16 00:00:00,,,,,,,,,,false,
RA-AEA0018,Alamo,AEA0018,LA,Lamborghini,Taurus,1,CN-AEA0018,GroupFR000018,ORD,Waelchistead,9860 S Chestnut Street,Block 0000017,Huntington Beach,LA,98051,2025-09-23 00:00:00,GroupFR000018,ORD,Waelchistead,9860 S Chestnut Street,Block 0000017,Huntington Beach,LA,98051,2025-10-16 00:00:00,GroupFR000018,ORD,Waelchistead,9860 S Chestnut Street,Block 0000017,Huntington Beach,LA,98051,2025-09-25 00:00:00,false,
RA-AEA0019,National,AEA0019,ME,Renault,F-150,1,CN-AEA0019,GroupFR000019,LAX,West Jessie,85814 Railroad Street,Block 0000018,Cutler Bay,ME,56844,2025-09-23 00:00:00,GroupFR000019,LAX,West Jessie,85814 Railroad Street,Block 0000018,Cutler Bay,ME,56844,2025-10-16 00:00:00,GroupFR000019,LAX,West Jessie,85814 Railroad Street,Block 0000018,Cutler Bay,ME,56844,2025-09-25 00:00:00,true,2025-09-24 00:00:00
