28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA-AFO0074,National,AFO0074>,MS,Jaguar,Spyder,1,CN-AFO0074,GroupFR00074,BWI,Memphis,95013 Ash Grove,Block 000074,Fort Alishatown,WI,31631,2025-10-10 00:00:00,GroupFR00074,BWI,Memphis,95013 Ash Grove,Block 000074,Fort Alishatown,WI,31631,2025-12-12 00:00:00,,,,,,,,,,FALSE,
RA-AFO0075,National,AFO0075<,MO,Smart,Roadster,1,CN-AFO0075,GroupFR00075,MSY,Houston,900 Keshaun Loop,Block 000075,Zackfurt,LA,32742,2025-10-10 00:00:00,GroupFR00075,MSY,Houston,900 Keshaun Loop,Block 000075,Zackfurt,LA,32742,2025-12-12 00:00:00,,,,,,,,,,FALSE,
RA-AFO0076,Enterprise,AFO0076;,MT,Toyota,XTS,1,CN-AFO0076,GroupFR00076,BHM,Strosinbury,3093 Langworth Way,Block 000076,East Ryanfield,WA,39875,2025-10-10 00:00:00,GroupFR00076,BHM,Strosinbury,3093 Langworth Way,Block 000076,East Ryanfield,WA,39875,2025-12-12 00:00:00,,,,,,,,,,FALSE,
RA-AFO0077,National,AFO0077:,NE,Smart,Model Y,1,CN-AFO0077,GroupFR00077,CAK,Lake Nicolas,893 Bogan Prairie,Block 000077,Luettgenville,CA,38382,2025-10-10 00:00:00,GroupFR00077,CAK,Lake Nicolas,893 Bogan Prairie,Block 000077,Luettgenville,CA,38382,2025-12-12 00:00:00,,,,,,,,,,FALSE,
RA-AFO0078,Enterprise,AFO0078/,NV,Polestar,Wrangler,1,CN-AFO0078,GroupFR00078,BTR,Lubowitzton,50548 Windsor Close,Block 000078,Jovannyshire,DE,38148,2025-10-10 00:00:00,GroupFR00078,BTR,Lubowitzton,50548 Windsor Close,Block 000078,Jovannyshire,DE,38148,2025-12-12 00:00:00,,,,,,,,,,FALSE,
RA-AFO0079,Enterprise,AFO0079?,NH,Aston Martin,Model X,1,CN-AFO0079,GroupFR00079,MSP,Gradystad,2341 Evan Lock,Block 000079,North Juwan,MS,39311,2025-10-10 00:00:00,GroupFR00079,MSP,Gradystad,2341 Evan Lock,Block 000079,North Juwan,MS,39311,2025-12-12 00:00:00,,,,,,,,,,FALSE,
RA-AFO0080,Enterprise,AFO0 080,NJ,Ferrari,Altima,1,CN-AFO0080,GroupFR00080,SPI,Rebecastad,35085 W Broad Street,Block 000080,Fort Rachaelland,OR,30296,2025-10-10 00:00:00,GroupFR00080,SPI,Rebecastad,35085 W Broad Street,Block 000080,Fort Rachaelland,OR,30296,2025-12-12 00:00:00,,,,,,,,,,FALSE,
RA-AFO0081,National,AFO0081[,NM,Honda,El Camino,1,CN-AFO0081,GroupFR00081,BWI,Schneiderbury,890 Bauch Inlet,Block 000081,Yundtborough,AZ,37359,2025-10-10 00:00:00,GroupFR00081,BWI,Schneiderbury,890 Bauch Inlet,Block 000081,Yundtborough,AZ,37359,2025-12-12 00:00:00,,,,,,,,,,FALSE,
RA-AFO0082,National,AFO0082],NY,Smart,Focus,1,CN-AFO0082,GroupFR00082,SJC,West Darioshire,733 Eldora Knolls,Block 000082,Fort Chaya,NY,39231,2025-10-10 00:00:00,GroupFR00082,SJC,West Darioshire,733 Eldora Knolls,Block 000082,Fort Chaya,NY,39231,2025-12-12 00:00:00,,,,,,,,,,FALSE,
RA-AFO0083,National,AFO0083{,NC,NIO,Roadster,1,CN-AFO0083,GroupFR00083,SMF,Port Tremaineborough,78936 Susanna Harbors,Block 000083,Effieview,NV,38496,2025-10-10 00:00:00,GroupFR00083,SMF,Port Tremaineborough,78936 Susanna Harbors,Block 000083,Effieview,NV,38496,2025-12-12 00:00:00,,,,,,,,,,FALSE,
