    50
RA-ABM-0001,Alamo,ABM0001,AK,Rolls Royce,Golf,1,CN-ABM-0001,000002,JFK,Kuvalisville,1314 Grayce Field,Block 0000002,North Peggie,AK,31611,2025-07-27 05:11:31,000002,ORD,Port Giuseppe,4293 Otho Alley,Block 0000002,Colorado Springs,AK,12196,2025-08-17 05:11:31,,,,,,,,,,false,
RA-ABM-0002,Alamo,ABM0002,AZ,Volvo,Prius,1,CN-ABM-0002,000003,ATL,North Jaden,27132 Kara Hills,Block 0000003,Denesikville,AZ,16840,2025-07-27 05:11:31,000003,ATL,Leuschkechester,8360 Park Crescent,Block 0000003,West Hartford,AZ,19032,2025-08-17 05:11:31,,,,,,,,,,false,
RA-ABM-0003,Enterprise,ABM0003,AR,Fiat,2,1,CN-ABM-0003,000004,JFK,Kemmerboro,9224 Paolo Avenue,Block 0000004,Conway,AR,12402,2025-07-27 05:11:31,000004,DFW,Lake Alene,8728 Broad Street,Block 0000004,Port Anjali,AR,97236,2025-08-17 05:11:31,,,,,,,,,,false,
RA-ABM-0004,Enterprise,ABM0004,CA,Volvo,1,1,CN-ABM-0004,000005,DEN,Stoltenbergfield,39791 Hirthe Park,Block 0000005,Smithamberg,CA,61148,2025-07-27 05:11:31,000005,ATL,Casperstead,490 The Beeches,Block 0000005,Lake Dock,CA,18071,2025-08-17 05:11:31,,,,,,,,,,false,
RA-ABM-0005,National,ABM0005,CO,Toyota,XTS,1,CN-ABM-0005,000006,JFK,Norwoodtown,5398 Vicarage Close,Block 0000006,South Jonathon,CO,44383,2025-07-27 05:11:31,000006,JFK,New Arielle,440 Harry Plain,Block 0000006,Stromanberg,CO,46787,2025-08-17 05:11:31,,,,,,,,,,true,2025-07-28 05:11:31
RA-ABM-0006,National,ABM0006,CT,Citroën,Civic,1,CN-ABM-0006,000007,ATL,Rickiestead,319 Alva Hollow,Block 0000007,Pollichfort,CT,84894,2025-07-27 05:11:31,000007,JFK,South Lysanne,1821 Dickens Port,Block 0000007,Fort Laurianefield,CT,47575,2025-08-17 05:11:31,,,,,,,,,,true,2025-07-28 05:11:31
RA-ABM-0007,National,ABM0007,DE,Volkswagen,Fortwo,1,CN-ABM-0007,000008,ATL,Fort Unique,682 Ondricka Avenue,Block 0000008,South Jaquancester,DE,93624,2025-07-27 05:11:31,000008,ORD,Juddville,5498 Doug Wall,Block 0000008,Klockoburgh,DE,56960,2025-08-17 05:11:31,,,,,,,,,,true,2025-07-28 05:11:31
RA-ABM-0008,Enterprise,ABM0008,FL,Volvo,Sentra,1,CN-ABM-0008,000009,LAX,Turnerboro,62374 Vincenzo Tunnel,Block 0000009,Aubreeton,FL,86632,2025-07-27 05:11:31,000009,DFW,Rueckerland,59772 Church Hill,Block 0000009,East Bobbieboro,FL,53957,2025-08-17 05:11:31,,,,,,,,,,true,2025-07-28 05:11:31
RA-ABM-0009,Alamo,ABM0009,GA,Jeep,Colorado,1,CN-ABM-0009,000010,LAX,Larkinborough,81460 Margarita Greens,Block 0000010,Hagenesberg,GA,79540,2025-07-27 05:11:31,000010,ORD,Maple Grove,1473 W Jackson Street,Block 0000010,Koryfort,GA,60606,2025-08-17 05:11:31,,,,,,,,,,true,2025-07-28 05:11:31
RA-ABM-0010,Enterprise,ABM0010,HI,Land Rover,Malibu,1,CN-ABM-0010,000011,ATL,Wavaport,247 W 6th Avenue,Block 0000011,South Mariettashire,HI,20911,2025-07-27 05:11:31,000011,DFW,North Jovan,23830 N 4th Street,Block 0000011,Jaskolskiboro,HI,63280,2025-08-17 05:11:31,,,,,,,,,,true,2025-07-28 05:11:31
