12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA-ADG0059,National,AAD0078,VT,Dodge,Charger,1,CN-ADG0059,GroupFR0000059,FLL,Adellefort,323 Trudie Roads,Block 0000059,Layton,QC,11263,2025-10-08 00:00:00,GroupFR0000059,FLL,Adellefort,323 Trudie Roads,Block 0000059,Layton,QC,11263,2025-12-10 00:00:00,,,,,,,,,,FALSE,
RA-ADG0060,National,AAD0077,NH,Hyundai,Malibu,1,CN-ADG0060,GroupFR0000060,LAN,Kittyberg,918 Cornell Groves,Block 0000060,Dayton,SK,31216,2025-10-08 00:00:00,GroupFR0000060,LAN,Kittyberg,918 Cornell Groves,Block 0000060,Dayton,SK,31216,2025-12-10 00:00:00,,,,,,,,,,FALSE,
RA-ADG0061,Alamo,AAD0076,CT,Hyundai,Challenger,1,CN-ADG0061,GroupFR0000061,BOI,West Mabelle,6894 Ramiro Heights,Block 0000061,Victoria,NT,74785,2025-10-08 00:00:00,GroupFR0000061,BOI,West Mabelle,6894 Ramiro Heights,Block 0000061,Victoria,NT,74785,2025-12-10 00:00:00,,,,,,,,,,FALSE,
RA-ADG0062,Alamo,AAD0075,RI,Jeep,A8,1,CN-ADG0062,GroupFR0000062,MTJ,Omaha,0028 Renner Streets,Block 0000062,North Lonie,NU,13640,2025-10-08 00:00:00,GroupFR0000062,MTJ,Omaha,0028 Renner Streets,Block 0000062,North Lonie,NU,13640,2025-12-10 00:00:00,,,,,,,,,,FALSE,
RA-ADG0063,Alamo,AAD0073,VT,Honda,Impala,1,CN-ADG0063,GroupFR0000063,ORF,Minaside,30663 Tiara Extension,Block 0000063,Lake Forest,YT,22676,2025-10-08 00:00:00,GroupFR0000063,ORF,Minaside,30663 Tiara Extension,Block 0000063,Lake Forest,YT,22676,2025-12-10 00:00:00,,,,,,,,,,FALSE,
RA-ADG0064,Enterprise,AAD0070,RI,BMW,LeBaron,1,CN-ADG0064,GroupFR0000064,MSY,New Emmetchester,81510 Hartmann Place,Block 0000064,Frisco,AL,36575,2025-10-08 00:00:00,GroupFR0000064,MSY,New Emmetchester,81510 Hartmann Place,Block 0000064,Frisco,AL,36575,2025-12-10 00:00:00,,,,,,,,,,FALSE,
RA-ADG0065,Alamo,AAD0069,NM,Jaguar,Focus,1,CN-ADG0065,GroupFR0000065,HPN,West Lonzo,9126 Kayden Junction,Block 0000065,East Tianna,AK,14800,2025-10-08 00:00:00,GroupFR0000065,HPN,West Lonzo,9126 Kayden Junction,Block 0000065,East Tianna,AK,14800,2025-12-10 00:00:00,,,,,,,,,,FALSE,
RA-ADG0066,Enterprise,AAD0068,VT,Hyundai,2,1,CN-ADG0066,GroupFR0000066,BHM,Lawrenceland,4792 Schaden Mission,Block 0000066,Madison,AZ,67352,2025-10-08 00:00:00,GroupFR0000066,BHM,Lawrenceland,4792 Schaden Mission,Block 0000066,Madison,AZ,67352,2025-12-10 00:00:00,,,,,,,,,,FALSE,
RA-ADG0067,Alamo,AAD0067,NH,Audi,2,1,CN-ADG0067,GroupFR0000067,BIL,East Estevanmouth,242 Schinner Radial,Block 0000067,Dennisfort,AR,71962,2025-10-08 00:00:00,GroupFR0000067,BIL,East Estevanmouth,242 Schinner Radial,Block 0000067,Dennisfort,AR,71962,2025-12-10 00:00:00,,,,,,,,,,FALSE,
RA-ADG0068,Enterprise,AAD0066,CT,Volvo,Roadster,1,CN-ADG0068,GroupFR0000068,FNT,West River,9267 Cronin Wall,Block 0000068,Lake Jolie,CA,26628,2025-10-08 00:00:00,GroupFR0000068,FNT,West River,9267 Cronin Wall,Block 0000068,Lake Jolie,CA,26628,2025-12-10 00:00:00,,,,,,,,,,FALSE,
RA-ADG0069,National,AAD0065,RI,Cadillac,Model T,1,CN-ADG0069,GroupFR0000069,GRR,New Cathyville,6981 Stanton Forge,Block 0000069,Weimannshire,CO,80339,2025-10-08 00:00:00,GroupFR0000069,GRR,New Cathyville,6981 Stanton Forge,Block 0000069,Weimannshire,CO,80339,2025-12-10 00:00:00,,,,,,,,,,FALSE,
RA-ADG0070,Enterprise,AAD0064,NM,Jaguar,Charger,1,CN-ADG0070,GroupFR0000070,SEA,East Maia,705 Kuhn Mills,Block 0000070,South Careyberg,CT,99509,2025-10-08 00:00:00,GroupFR0000070,SEA,East Maia,705 Kuhn Mills,Block 0000070,South Careyberg,CT,99509,2025-12-10 00:00:00,,,,,,,,,,FALSE,
